                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.2942,                 1.2097,                 1.8141,                0.97895,                0.80516,                0.93429,                0.58423,                 1.3538,                0.87731,                 1.9936,             0.00092964,             0.00092964,             0.00092964
                     84,                 1.2305,                 1.1033,                 1.7576,                0.86752,                0.80863,                0.88835,                 0.5394,                 1.4252,                0.95496,                 2.0814,             0.00091899,             0.00091899,             0.00091899
                     85,                 1.3121,                 1.1815,                 1.8252,                0.83182,                0.83294,                0.91166,                0.57899,                 1.3517,                0.92588,                 1.9596,              0.0009083,              0.0009083,              0.0009083
                     86,                 1.2891,                 1.1945,                 1.7669,                0.94142,                0.81038,                0.92682,                0.55086,                 1.4549,                0.97134,                 2.1096,             0.00089756,             0.00089756,             0.00089756
                     87,                 1.2382,                 1.1854,                 1.7093,                0.92068,                0.81654,                0.91728,                0.58699,                 1.3256,                0.94923,                 1.9475,             0.00088677,             0.00088677,             0.00088677
                     88,                 1.2526,                 1.1315,                 1.7593,                0.89911,                0.87008,                0.93233,                0.57094,                 1.3796,                0.99197,                 2.0164,             0.00087595,             0.00087595,             0.00087595
                     89,                  1.317,                  1.214,                  1.817,                 0.8852,                0.79979,                0.90561,                0.53966,                 1.4204,                0.91854,                 2.1019,             0.00086509,             0.00086509,             0.00086509
                     90,                 1.2354,                 1.1095,                 1.7524,                0.95182,                0.82035,                 0.9276,                0.57143,                 1.3895,                0.95176,                 2.0154,             0.00085419,             0.00085419,             0.00085419
                     91,                 1.2662,                  1.197,                 1.7858,                 0.8623,                 0.8632,                0.93345,                0.60214,                 1.3696,                0.87718,                 1.9939,             0.00084326,             0.00084326,             0.00084326
                     92,                 1.2718,                  1.182,                  1.781,                0.88484,                0.86146,                0.93309,                0.59091,                 1.3637,                 0.8731,                 1.9993,              0.0008323,              0.0008323,              0.0008323
                     93,                 1.2805,                 1.2928,                 1.8022,                0.92953,                0.81393,                0.90568,                0.57119,                 1.3536,                0.86195,                 2.0249,             0.00082131,             0.00082131,             0.00082131
                     94,                 1.2951,                 1.1352,                 1.7618,                0.94222,                0.81277,                0.91311,                0.55518,                 1.4305,                0.98671,                 2.0585,              0.0008103,              0.0008103,              0.0008103
                     95,                 1.2609,                  1.157,                 1.7766,                0.93022,                0.84773,                0.94768,                0.58678,                 1.3503,                0.82987,                 1.9994,             0.00079927,             0.00079927,             0.00079927
                     96,                 1.3054,                 1.1146,                  1.809,                0.91655,                0.81847,                0.92682,                0.58011,                 1.3991,                0.88111,                 2.0561,             0.00078821,             0.00078821,             0.00078821
                     97,                 1.2312,                 1.1067,                 1.7158,                 0.9161,                0.86005,                0.93376,                0.56709,                 1.4371,                0.90375,                 2.0364,             0.00077714,             0.00077714,             0.00077714
                     98,                 1.2263,                 1.0702,                 1.7278,                0.87391,                0.90091,                0.93976,                0.58511,                  1.321,                0.82021,                 1.9856,             0.00076606,             0.00076606,             0.00076606
                     99,                 1.2584,                 1.1658,                 1.7684,                0.88115,                0.82903,                0.92274,                0.57162,                 1.3768,                0.92913,                 2.0335,             0.00075497,             0.00075497,             0.00075497
                    100,                 1.1585,                0.98542,                 1.6841,                0.92868,                0.83968,                0.93281,                 0.5693,                 1.3984,                0.92275,                 2.0353,             0.00074386,             0.00074386,             0.00074386
                    101,                 1.1789,                 1.0115,                 1.6669,                 0.9219,                0.86665,                0.94957,                 0.5963,                 1.3523,                 0.8277,                 2.0242,             0.00073276,             0.00073276,             0.00073276
                    102,                 1.1632,                 1.0215,                 1.6697,                0.91761,                0.88944,                0.94371,                0.57748,                 1.4237,                0.79041,                 2.0678,             0.00072165,             0.00072165,             0.00072165
                    103,                 1.2632,                 1.0819,                 1.7364,                  0.901,                0.83308,                0.92699,                0.54994,                 1.4357,                0.88328,                 2.1018,             0.00071053,             0.00071053,             0.00071053
                    104,                  1.214,                 1.0548,                 1.7193,                0.95808,                0.86595,                0.94419,                0.60501,                 1.3283,                0.79441,                 1.9878,             0.00069943,             0.00069943,             0.00069943
                    105,                 1.1943,                0.99177,                 1.7198,                0.92482,                0.89029,                0.95001,                0.56022,                 1.4569,                 0.8022,                 2.1249,             0.00068832,             0.00068832,             0.00068832
